,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
0,159.0,"175,00",4.4,realme,"16,6 x 7,6 x 0,8",8.0,256.0,200.0
1,171.99,"179,95",4.3,xiaomi,50 x 50 x 28,8.0,8.0,200.0
2,159.0,"159,00",3.9,samsung,"17,2 x 8,3 x 2,9",4.0,128.0,270.0
3,128.9,"156,00",4.7,xiaomi,"18,5 x 9,3 x 5,4",8.0,256.0,490.0
4,89.99,"89,99",3.9,xiaomi,"17,3 x 8,6 x 5,1",1.0,1.0,410.0
5,144.5,"249,00",4.1,honor,50 x 50 x 28,8.0,3.0,194.0
6,89.99,"89,99",4.1,ulefone,"7,52 x 0,87 x 16,32",6.0,64.0,192.0
7,239.9,"239,90",3.8,samsung,50 x 50 x 28,8.0,256.0,200.0
8,339.94,"339,94",4.6,samsung,50 x 50 x 28,8.0,128.0,310.0
9,131.45,"152,65",3.9,xiaomi,18 x 9 x 5,6.0,6.0,400.0
10,729.99,"749,99",4.6,samsung,"34 x 15,7 x 4,9",8.0,512.0,200.0
11,249.9,"249,90",4.4,xiaomi,"18 x 9,1 x 5,9",8.0,256.0,510.0
14,149.99,"149,99",4.7,samsung,18 x 9 x 4,4.0,128.0,290.0
15,79.95,"79,95",3.7,microsoft,"0,9 x 7,2 x 14,1",1.0,1.0,145.0
16,159.99,"159,99",3.9,ulefone,"7,64 x 0,87 x 16,5",8.0,8.0,184.0
17,239.0,"239,00",3.5,apple,"6,43 x 0,74 x 13,16",8.0,128.0,135.0
19,89.9,"89,90",3.9,nokia,"13,89 x 5,77 x 1,62",8.0,128.0,277.3
20,249.99,"249,99",3.5,hotwav,"16,8 x 8,2 x 1,8",8.0,8.0,323.0
21,259.99,"259,99",4.2,sony,"12,9 x 9,3 x 12,9",4.0,32.0,140.0
22,109.99,"129,99",4.0,cubot,"21,7 x 17,3 x 6,2",12.0,12.0,214.0
23,164.99,"164,99",4.3,samsung,50 x 50 x 28,4.0,4.0,270.0
25,57.99,"57,99",3.6,msmga,"17,5 x 9,5 x 5,8",1.0,128.0,340.0
26,129.99,"129,99",4.0,realme,"18 x 9,4 x 4",8.0,8.0,370.0
28,131.75,"131,75",4.6,oneplus,"15,75 x 7,48 x 0,82",8.0,8.0,185.0
30,129.99,"129,99",4.0,ulefone,"7,91 x 1,02 x 17,36",4.0,4.0,237.0
31,1510.78,"1.510,78",4.1,apple,"2,9 x 8,8 x 16,5",8.0,256.0,320.0
33,102.0,"102,00",4.4,xiaomi,"7,7 x 0,91 x 16,33",32.0,3.0,198.0
35,152.0,"152,00",4.1,xiaomi,"16,22 x 7,55 x 0,8",8.0,256.0,188.0
36,64.99,"64,99",5.0,xgody,"17,5 x 15,5 x 3,7",2.0,16.0,380.0
37,189.0,"189,00",4.3,samsung,"16,4 x 7,59 x 0,97",4.0,4.0,220.0
38,119.99,"119,99",4.2,oukitel,"23,5 x 16,3 x 6,7",16.0,128.0,460.0
39,113.99,"128,74",4.3,samsung,50 x 50 x 28,3.0,3.0,195.0
40,197.0,"212,99",4.4,xiaomi,50 x 50 x 28,8.0,8.0,205.0
41,159.0,"159,00",4.3,"mcr infoelectronic,sl","16,37 x 7,5 x 0,8",4.0,4.0,189.0
42,94.55,"109,99",3.0,ttfone,"5,5 x 2 x 10,8",4.0,4.0,128.0
43,188.0,"188,00",4.3,xiaomi,50 x 50 x 28,8.0,512.0,277.3
44,198.99,"198,99",4.0,samsung,"15,98 x 7,45 x 0,84",6.0,6.0,193.0
45,434.31,"518,15",4.6,xiaomi,50 x 50 x 28,12.0,12.0,500.0
46,215.0,"235,00",4.5,samsung,50 x 50 x 28,8.0,128.0,277.3
47,56.99,"59,99",3.4,mcmgc,"16,8 x 9,2 x 5,5",1.0,16.0,330.0
49,95.89,"95,89",4.2,samsung,"14,72 x 6,95 x 0,83",32.0,32.0,141.0
50,79.99,"79,99",4.2,oscal,"18 x 9,3 x 5,7",6.0,64.0,193.0
51,220.0,"220,00",3.6,apple,"16,89 x 9,3 x 5,21",64.0,64.0,190.0
52,289.99,"319,00",4.2,samsung,"0,84 x 7,7 x 16,55",4.0,128.0,198.0
54,129.99,"129,99",4.4,oukitel,"16,8 x 7,8 x 0,94",18.0,128.0,209.0
55,89.99,"89,99",4.1,oscal,"16,46 x 7,68 x 0,94",32.0,32.0,193.0
57,261.0,"261,00",4.0,samsung,"0,99 x 7,67 x 15,99",4.0,64.0,218.0
58,108.89,"108,89",3.9,samsung,50 x 50 x 28,4.0,4.0,140.0
60,160.82,"160,82",3.7,xiaomi,"16,86 x 0,83 x 7,63",8.0,256.0,205.0
61,94.99,"104,99",3.6,realme,"16,7 x 7,67 x 0,78",4.0,128.0,187.0
62,169.0,"169,00",4.3,vivo,"16,57 x 7,6 x 0,8",8.0,256.0,380.0
63,199.99,"199,99",4.1,hotwav,50 x 50 x 28,8.0,128.0,277.3
64,319.99,"319,99",3.8,samsung,50 x 50 x 28,8.0,8.0,420.0
65,89.0,"99,00",4.1,xiaomi,"16,83 x 7,63 x 0,83",4.0,128.0,278.0
66,153.99,"153,99",4.4,samsung,50 x 50 x 28,64.0,64.0,200.0
68,302.49,"439,99",4.1,oppo,50 x 50 x 28,12.0,12.0,172.0
69,899.99,"899,99",4.5,samsung,50 x 50 x 28,12.0,512.0,370.0
70,348.68,"379,00",4.4,nothing,"7,63 x 0,85 x 16,17",12.0,256.0,190.0
72,869.0,"869,00",4.5,apple,50 x 50 x 28,8.0,256.0,277.3
73,219.99,"219,99",4.4,samsung,"0,91 x 7,59 x 16,42",3.0,32.0,196.0
74,174.46,"174,46",4.3,samsung,"7,79 x 0,79 x 16,44",4.0,128.0,200.0
75,720.0,"720,00",4.3,samsung,"0,89 x 7,79 x 16,33",8.0,512.0,340.0
76,114.39,"126,57",4.1,xiaomi,"0,89 x 7,61 x 16,4",8.0,64.0,200.0
77,323.99,"323,99",4.5,samsung,50 x 50 x 28,8.0,256.0,310.0
78,229.0,"249,00",3.5,mcr infoelectronic,"16,58 x 7,61 x 0,77",16.0,16.0,186.0
79,159.0,"159,00",4.7,xiaomi,50 x 50 x 28,8.0,8.0,480.0
80,89.99,"89,99",5.0,ulefone,"16,32 x 7,52 x 0,87",6.0,64.0,300.0
81,219.99,"219,99",4.4,doogee,"8,12 x 1,58 x 17,4",24.0,256.0,326.0
82,1149.99,"1.149,99",4.1,asus,"16,38 x 7,68 x 0,89",12.0,12.0,228.0
83,419.14,"419,98",4.2,samsung,"7,12 x 0,79 x 15,17",8.0,256.0,169.0
84,146.99,"146,99",4.2,oukitel,"16,4 x 8,15 x 1,54",12.0,12.0,580.0
86,209.0,"233,17",4.4,xiaomi,50 x 50 x 28,8.0,8.0,500.0
87,89.0,"129,00",4.3,motorola,"16,35 x 7,45 x 0,8",8.0,8.0,181.0
88,76.99,"76,99",2.5,rainbuvvy,"11,3 x 7,5 x 4,6",3.0,128.0,181.0
90,229.0,"229,00",4.2,honor,"17,5 x 8,8 x 3,2",8.0,256.0,320.0
91,99.0,"124,99",4.4,xiaomi,"10 x 5 x 1,27",8.0,8.0,400.0
92,280.13,"280,13",4.2,xiaomi,"18,3 x 9 x 6,3",8.0,256.0,482.0
93,90.23,"90,23",4.0,xiaomi,"7,71 x 0,9 x 16,49",2.0,2.0,196.0
94,625.0,"666,58",4.5,samsung,"14,63 x 7,09 x 0,76",8.0,256.0,168.0
95,129.99,"147,52",4.4,xiaomi,50 x 50 x 28,8.0,8.0,390.0
96,399.0,"549,00",4.1,google,"15,2 x 7,27 x 0,89",8.0,128.0,187.0
98,207.9,"239,08",4.4,samsung,16 x 3 x 8,8.0,128.0,197.0
99,179.99,"179,99",3.8,umidigi,"19 x 9,9 x 5,4",16.0,16.0,195.0
100,349.9,"349,90",4.3,xiaomi,"18,5 x 9,3 x 6,1",8.0,256.0,186.0
101,206.99,"206,99",4.2,samsung,"16,77 x 7,8 x 0,91",4.0,128.0,190.0
102,95.0,"95,00",4.5,"mcr infoelectronic,sl","16,37 x 7,5 x 0,82",4.0,4.0,250.0
105,79.99,"79,99",4.4,blackview,"17,9 x 9 x 5,6",6.0,64.0,193.0
107,135.88,"135,88",4.5,xiaomi,"16,13 x 7,64 x 0,88",6.0,6.0,200.0
109,127.0,"164,81",4.4,xiaomi,"7,38 x 0,81 x 15,98",4.0,128.0,179.0
110,126.89,"126,89",4.0,samsung,"147,7 x 68,71 x 8,51",4.0,4.0,200.0
111,399.19,"399,19",4.1,samsung,"7,41 x 0,78 x 15,76",8.0,512.0,198.0
112,264.95,"264,95",4.4,xiaomi,50 x 50 x 28,8.0,8.0,500.0
113,799.0,"799,00",4.1,xiaomi,50 x 50 x 28,12.0,12.0,500.0
114,62.93,"69,90",4.1,panasonic,"2,3 x 5,3 x 10,6",8.0,128.0,110.0
115,374.55,"374,55",4.1,apple,"16,8 x 9,3 x 6,3",12.0,12.0,194.0
116,333.0,"348,88",4.3,xiaomi,"18,6 x 9,3 x 6,2",8.0,512.0,620.0
117,251.1,"279,00",3.8,mptech,50 x 50 x 28,6.0,128.0,490.0
118,99.99,"99,99",3.4,sony,"7,2 x 0,73 x 14,5",2.0,2.0,118.0
119,299.0,"329,00",4.2,vivo,"16,32 x 7,59 x 0,79",8.0,8.0,190.0
120,167.49,"176,49",4.4,samsung,"7,79 x 0,79 x 16,44",4.0,128.0,200.0
121,292.08,"292,08",4.4,oneplus,"16,09 x 7,44 x 0,81",8.0,8.0,190.0
122,219.99,"259,99",4.5,oukitel,"8,1 x 1,53 x 17,2",24.0,256.0,680.0
123,109.99,"109,99",4.3,blackview,"17,9 x 9 x 5,6",12.0,128.0,192.0
125,299.99,"379,99",4.3,doogee,"8,25 x 1,6 x 17,95",32.0,256.0,364.0
127,103.4,"115,00",4.4,xiaomi,"18,3 x 9,1 x 3,7",4.0,128.0,360.0
128,104.66,"107,66",4.6,xiaomi,"17,7 x 9,1 x 5,2",6.0,6.0,400.0
129,349.99,"349,99",4.1,blackview,"8,11 x 1,65 x 17,46",24.0,24.0,370.0
130,249.99,"249,99",4.4,samsung,"0,89 x 7,53 x 16,37",4.0,4.0,250.0
131,248.99,"248,99",4.1,xiaomi,"18,7 x 9 x 6",12.0,256.0,500.0
132,459.0,"459,00",3.8,apple,15 x 127 x 77,8.0,128.0,330.0
133,345.97,"345,97",3.9,oppo,"15,94 x 7,24 x 0,77",12.0,256.0,171.0
135,99.99,"99,99",4.5,blackview,"18,1 x 9,1 x 5,6",6.0,64.0,193.0
136,1432.19,"1.432,19",4.4,apple,50 x 50 x 28,8.0,256.0,277.3
137,149.99,"149,99",4.5,doogee,"7,58 x 0,86 x 16,38",6.0,256.0,186.0
138,99.99,"99,99",4.1,ulefone,"16,5 x 8,6 x 4,9",3.0,128.0,320.0
140,325.0,"345,99",4.4,samsung,50 x 50 x 28,8.0,128.0,202.0
141,335.0,"369,98",4.2,samsung,16 x 4 x 2,8.0,128.0,301.0
142,173.0,"173,00",4.1,xiaomi,18 x 10 x 6,8.0,8.0,180.0
143,119.99,"159,99",4.5,doogee,"7,78 x 1,62 x 16,25",8.0,256.0,262.0
144,378.99,"378,99",3.8,apple,"17,5 x 9,6 x 4,4",8.0,128.0,340.0
146,89.0,"129,00",4.3,motorola,"16,35 x 7,45 x 0,8",4.0,8.0,181.0
148,119.99,"119,99",4.2,blackview,"18 x 8,8 x 5,4",16.0,128.0,470.0
149,429.99,"466,00",4.3,samsung,50 x 50 x 28,8.0,8.0,300.0
151,255.0,"255,00",3.6,samsung,"17,78 x 7,62 x 6,35",8.0,256.0,168.0
152,123.99,"123,99",3.8,ulefone,"16,6 x 7,67 x 0,92",4.0,4.0,188.0
153,141.99,"145,99",4.6,xiaomi,"18,1 x 9 x 5,9",8.0,256.0,500.0
154,483.69,"483,69",4.5,apple,"4,8 x 0,84 x 6,18",8.0,128.0,380.0
155,299.0,"329,00",4.2,vivo,"16,32 x 7,59 x 0,78",8.0,8.0,188.0
156,104.99,"109,00",4.2,realme,"16,52 x 7,64 x 8,9",2.0,32.0,190.0
157,56.99,"56,99",3.5,wrtogo,"16,8 x 9,1 x 5,5",1.0,1.0,189.0
158,52.84,"52,84",4.1,zte,"14,5 x 8,2 x 5",2.0,2.0,280.0
159,103.49,"139,00",4.2,xiaomi,"18,4 x 9,1 x 3,7",8.0,128.0,340.0
161,300.0,"300,00",4.0,apple,50 x 50 x 28,8.0,256.0,277.3
163,91.89,"119,99",4.1,xiaomi,50 x 50 x 28,2.0,2.0,196.0
164,320.0,"320,00",4.0,apple,15 x 8 x 2,8.0,128.0,270.0
165,95.0,"95,00",4.5,"mcr infoelectronic,sl","16,37 x 7,5 x 0,82",4.0,4.0,250.0
166,199.35,"206,99",4.1,samsung,"7,9 x 77 x 164,4",4.0,128.0,280.0
167,79.99,"99,99",4.4,oukitel,"23,5 x 14,9 x 6,8",8.0,64.0,450.0
169,159.99,"159,99",3.1,hotwav,"16,6 x 7,7 x 8,9",8.0,8.0,235.0
170,155.0,"199,00",4.5,oppo,50 x 50 x 28,8.0,256.0,500.0
171,1427.59,"1.427,59",4.6,apple,"0,78 x 7,15 x 14,67",8.0,128.0,172.0
172,114.99,"114,99",4.2,xiaomi,"17,6 x 8,9 x 5,7",4.0,4.0,179.0
173,129.81,"129,81",3.1,nokia,50 x 50 x 28,32.0,2.0,420.0
174,174.0,"174,00",4.1,xiaomi,50 x 50 x 28,8.0,256.0,500.0
175,255.0,"255,00",4.3,xiaomi,50 x 50 x 28,8.0,8.0,490.0
176,326.0,"326,00",4.5,samsung,50 x 50 x 28,8.0,128.0,300.0
177,89.99,"89,99",4.1,doogee,"19,4 x 10,4 x 5,15",9.0,128.0,400.0
179,269.99,"319,99",4.3,cubot,"23 x 16,9 x 4,9",24.0,512.0,710.0
180,126.0,"126,00",4.3,xiaomi,50 x 50 x 28,6.0,6.0,480.0
181,118.79,"127,00",4.3,xiaomi,20 x 15 x 14,8.0,8.0,190.0
182,144.0,"149,00",4.1,oppo,50 x 50 x 28,8.0,256.0,200.0
183,148.0,"148,00",4.5,samsung,50 x 50 x 28,8.0,128.0,277.3
184,107.9,"132,55",4.1,xiaomi,50 x 50 x 28,8.0,8.0,360.0
185,129.0,"129,00",4.1,rvelon,20 x 8 x 2,8.0,128.0,110.0
186,172.99,"172,99",4.4,samsung,"16 x 7,6 x 1",4.0,4.0,163.0
187,438.99,"438,99",4.4,realme,50 x 50 x 28,12.0,256.0,410.0
188,109.0,"179,00",4.2,motorola,"16,15 x 0,8 x 7,38",8.0,128.0,175.0
189,128.0,"128,00",4.1,samsung,"17,4 x 8,6 x 3,2",4.0,128.0,310.0
190,79.99,"79,99",4.4,blackview,"16,32 x 7,51 x 0,87",16.0,16.0,193.0
191,410.0,"410,00",4.2,xiaomi,"10 x 5 x 1,27",12.0,12.0,206.0
192,109.95,"109,95",4.3,xiaomi,16 x 6 x 5,1.0,32.0,192.0
193,210.0,"210,00",4.4,xiaomi,50 x 50 x 28,8.0,8.0,205.0
194,77.99,"77,99",4.2,blackview,"17,5 x 8,7 x 5,2",16.0,16.0,191.0
195,206.0,"206,00",4.4,samsung,50 x 50 x 28,8.0,256.0,100.0
196,266.0,"419,99",4.3,realme,50 x 50 x 28,12.0,512.0,200.0
197,119.99,"119,99",4.1,hotwav,"17,5 x 8,3 x 1,3",4.0,128.0,300.0
198,164.99,"164,99",4.1,oukitel,"17,22 x 8,07 x 1,71",12.0,256.0,680.0
199,299.01,"299,01",4.4,samsung,"15,96 x 7,48 x 0,81",6.0,6.0,189.0
200,105.9,"105,90",4.3,apple,"4,8 x 1,01 x 6,93",8.0,32.0,460.0
201,131.49,"131,49",4.6,xiaomi,"17,2 x 8,8 x 5,9",1.0,1.0,277.3
203,59.99,"69,90",4.7,spc,"11,5 x 8,6 x 4,3",8.0,128.0,118.0
204,628.31,"628,31",4.6,samsung,"33,9 x 15,7 x 4,9",12.0,256.0,195.0
207,1371.65,"1.371,65",4.5,apple,"0,78 x 7,76 x 16,07",8.0,128.0,240.0
208,209.99,"209,99",4.1,nubia,"16,62 x 7,63 x 0,85",8.0,8.0,208.0
209,266.0,"266,00",3.9,apple,"16,89 x 9,3 x 5,21",8.0,128.0,190.0
211,156.99,"156,99",4.2,xiaomi,"7,48 x 0,9 x 16,26",8.0,128.0,208.0
212,139.0,"139,00",4.1,samsung,"14,57 x 7,23 x 0,79",2.0,2.0,149.0
213,199.0,"199,00",4.1,samsung,50 x 50 x 28,8.0,256.0,200.0
215,379.0,"499,00",3.5,samsung,50 x 50 x 28,8.0,256.0,340.0
218,94.99,"94,99",4.2,xiaomi,50 x 50 x 28,4.0,4.0,179.0
219,249.0,"249,00",4.1,motorola,"16,2 x 7,4 x 0,8",24.0,24.0,177.0
220,230.58,"230,58",4.4,honor,"17,4 x 8,8 x 3",8.0,256.0,185.0
221,99.99,"99,99",4.6,oscal,"16,78 x 7,74 x 0,91",16.0,16.0,214.0
223,278.9,"278,90",4.4,samsung,"0,84 x 7,51 x 15,99",6.0,128.0,189.0
224,780.0,"780,00",3.6,apple,"10 x 2 x 6,86",8.0,128.0,240.0
225,449.99,"449,99",4.3,samsung,"0,76 x 7,06 x 14,6",8.0,128.0,320.0
226,849.0,"1.099,00",4.3,google,"15,28 x 7,2 x 0,86",8.0,128.0,190.0
227,151.99,"199,99",4.4,oukitel,"23,8 x 22,6 x 6,8",24.0,256.0,670.0
228,180.07,"180,07",4.0,samsung,"0,79 x 6,96 x 14,24",8.0,32.0,152.0
229,169.98,"241,43",4.5,xiaomi,"16,11 x 7,49 x 0,8",8.0,128.0,179.0
230,83.67,"83,67",4.2,xiaomi,50 x 50 x 28,4.0,4.0,192.0
231,264.89,"264,89",4.4,samsung,"16,77 x 7,8 x 0,82",8.0,128.0,209.0
232,1649.0,"1.649,00",4.1,asus,50 x 50 x 28,24.0,1024.0,277.3
233,86.9,"86,90",4.3,beghelli,"10,9 x 5,5 x 1,9",8.0,128.0,277.3
234,148.5,"148,50",4.2,xiaomi,12 x 9 x 23,8.0,8.0,446.0
235,199.99,"199,99",4.3,oscal,"16,48 x 7,56 x 0,87",8.0,256.0,193.0
237,329.99,"329,99",4.0,cubot,"19,6 x 19,5 x 4,3",24.0,256.0,540.0
238,96.21,"102,70",4.4,xiaomi,50 x 50 x 28,4.0,4.0,200.0
239,66.31,"66,31",4.1,zunate,"22,5 x 14,5 x 8,3",4.0,128.0,128.0
240,129.99,"149,99",4.0,umidigi,"16,7 x 7,7 x 0,79",6.0,128.0,390.0
241,69.9,"69,90",4.3,spc,"11,5 x 8,7 x 4,3",8.0,128.0,118.0
244,59.96,"59,96",4.1,vikye,20 x 12 x 9,2.0,128.0,309.0
245,329.9,"329,90",4.3,xiaomi,"18,4 x 9,2 x 6,1",12.0,256.0,550.0
246,58.34,"58,34",2.8,mcmgc,"17,9 x 9,8 x 5,2",8.0,16.0,370.0
247,63.15,"63,15",4.1,gowenic,28 x 17 x 6,4.0,128.0,277.3
248,118.0,"118,00",4.7,zunate,"18,7 x 17,1 x 5,7",1.0,8.0,141.0
249,799.0,"969,00",4.3,samsung,"18,9 x 11,3 x 6,8",8.0,8.0,530.0
250,56.99,"56,99",3.1,jtqtj,"16,8 x 9,4 x 5,7",1.0,1.0,330.0
251,158.0,"158,00",3.9,xiaomi,50 x 50 x 28,6.0,6.0,500.0
252,139.99,"139,99",4.3,oukitel,"24,2 x 18,2 x 6,7",16.0,256.0,660.0
253,109.99,"109,99",4.2,huawei,"14,71 x 7,08 x 0,85",2.0,2.0,146.0
254,169.75,"169,75",3.8,zte,"16,6 x 7,61 x 0,85",8.0,8.0,222.0
255,59.0,"59,00",3.3,hipipooo,"12 x 7,3 x 4",2.0,16.0,150.0
256,475.0,"475,00",3.3,apple,"0,77 x 6,42 x 13,15",8.0,256.0,277.3
257,1812.35,"1.812,35",4.7,apple computer,"0,78 x 7,76 x 16,07",8.0,256.0,240.0
258,52.99,"52,99",3.2,qrzrq,"17,8 x 9,7 x 5,7",8.0,16.0,360.0
260,379.99,"379,99",4.0,hotwav,"17,5 x 8,19 x 1,8",16.0,256.0,400.0
261,129.98,"179,99",4.4,doogee,"19,1 x 10,3 x 5,9",16.0,256.0,460.0
264,299.98,"449,00",4.4,samsung,50 x 50 x 28,8.0,128.0,189.0
265,179.0,"249,00",4.4,samsung,"0,88 x 7,65 x 16,45",4.0,64.0,195.0
266,283.0,"299,00",4.1,xiaomi,50 x 50 x 28,12.0,12.0,370.0
267,119.88,"159,99",4.5,doogee,"7,78 x 1,62 x 16,25",8.0,128.0,262.0
268,255.0,"255,00",3.5,apple,"16,89 x 9,3 x 5,21",8.0,128.0,310.0
269,159.99,"159,99",4.4,doogee,"17,27 x 8 x 1,1",9.0,4.0,240.0
270,234.19,"234,19",2.8,myphone,18 x 9 x 2,8.0,128.0,280.0
271,289.99,"289,99",4.3,samsung,"0,84 x 15,98 x 7,45",6.0,128.0,190.0
272,395.0,"395,00",3.7,apple,"18 x 10,5 x 5,3",8.0,256.0,280.0
274,116.0,"159,99",3.4,doogee,"16,2 x 1,62 x 1,6",8.0,128.0,262.0
275,52.99,"52,99",3.2,qrzrq,"17,8 x 9,7 x 5,3",8.0,16.0,330.0
276,77.27,"77,27",4.1,vbestlife,23 x 14 x 10,4.0,4.0,300.0
278,139.99,"139,99",4.0,fossibot,"23 x 22,5 x 6",12.0,64.0,710.0
280,124.99,"124,99",4.4,blackview,"17,4 x 8,1 x 1,35",12.0,128.0,285.0
281,438.5,"438,50",3.6,apple,50 x 50 x 28,8.0,256.0,370.0
283,238.71,"260,00",4.4,samsung,50 x 50 x 28,6.0,128.0,200.0
284,55.59,"55,59",4.1,vikye,19 x 16 x 8,4.0,128.0,128.0
285,199.99,"219,99",4.0,tcl,"16,45 x 7,54 x 0,9",16.0,16.0,192.0
286,220.29,"220,29",4.1,tcl,"17,21 x 7,71 x 0,91",64.0,4.0,206.0
287,164.99,"164,99",4.3,samsung,16 x 2 x 8,8.0,4.0,200.0
288,88.5,"124,57",4.2,xiaomi,50 x 50 x 28,8.0,128.0,320.0
289,227.99,"227,99",4.2,apple computer,15 x 15 x 15,8.0,64.0,285.0
290,132.99,"132,99",4.3,xiaomi,"0,93 x 7,64 x 16,51",6.0,6.0,500.0
291,55.99,"55,99",3.3,jtqtj,"17,5 x 9,5 x 5,5",1.0,128.0,350.0
292,56.88,"60,49",3.9,telefunken,"8 x 8 x 16,5",32.0,32.0,190.0
293,208.45,"230,51",4.1,samsung,"0,9 x 7,9 x 16,2",6.0,6.0,222.0
294,79.99,"79,99",3.9,doogee,"16,7 x 7,74 x 0,89",4.0,4.0,189.0
297,239.99,"239,99",4.1,samsung,"7,47 x 0,77 x 15,85",8.0,128.0,350.0
298,67.34,"89,90",3.9,panasonic,50 x 50 x 28,8.0,128.0,320.0
302,159.99,"159,99",3.9,fossibot,"15,57 x 7,62 x 2,03",8.0,128.0,620.0
303,399.9,"399,90",4.4,xiaomi,"18,3 x 9,1 x 4,1",8.0,256.0,370.0
304,59.99,"64,99",3.5,alcatel,"13,8 x 1 x 6,6",8.0,8.0,260.0
306,542.0,"542,00",3.7,apple,"17,4 x 9,4 x 4,7",8.0,128.0,400.0
307,189.99,"189,99",4.6,oukitel,"19,56 x 16 x 0,91",24.0,128.0,208.0
308,145.79,"229,00",4.2,motorola,50 x 50 x 28,8.0,128.0,170.0
309,120.0,"120,00",2.2,apple,"13,82 x 6,71 x 7,11",32.0,32.0,145.0
310,218.99,"218,99",4.1,ati,50 x 50 x 28,8.0,256.0,220.0
311,360.0,"370,00",3.9,samsung,"0,78 x 7,37 x 16,19",12.0,12.0,100.0
312,89.99,"119,99",4.2,oukitel,"21,9 x 14,3 x 6",16.0,128.0,450.0
313,139.0,"139,00",4.4,xiaomi,50 x 50 x 28,4.0,4.0,300.0
314,119.99,"119,99",4.1,blackview,"6,2 x 0,9 x 16,42",8.0,8.0,184.0
315,699.0,"899,00",4.4,google,"15,28 x 7,2 x 0,85",8.0,128.0,190.0
317,131.9,"131,90",4.2,xiaomi,"18,5 x 9,1 x 5,7",8.0,256.0,450.0
318,991.19,"991,19",4.1,apple,50 x 50 x 28,8.0,256.0,277.3
319,183.99,"183,99",4.0,ulefone,"17,27 x 8,13 x 1,78",16.0,128.0,272.0
320,339.99,"339,99",4.2,ulefone,"8,53 x 2,08 x 18,37",8.0,8.0,920.0
321,209.99,"209,99",4.1,doogee,"31,8 x 18,9 x 3,4",8.0,8.0,155.0
322,799.9,"799,90",3.6,apple,"13,34 x 3,18 x 0,05",8.0,128.0,436.0
323,134.79,"134,79",4.4,xiaomi,10 x 48 x 50,4.0,128.0,179.0
324,146.0,"146,00",4.6,xiaomi,50 x 50 x 28,4.0,4.0,830.0
325,102.41,"119,98",4.5,xiaomi,"0,82 x 7,78 x 17,19",8.0,256.0,200.0
326,139.95,"139,95",4.2,tcl,"16,8 x 7,6 x 0,8",8.0,16.0,195.0
327,82.0,"87,90",4.0,xiaomi,50 x 50 x 28,8.0,128.0,310.0
328,529.0,"529,00",4.4,oneplus,10 x 48 x 50,8.0,8.0,651.0
330,101.0,"101,00",4.1,xiaomi,50 x 50 x 28,6.0,128.0,500.0
331,179.99,"189,99",4.0,doogee,19 x 10 x 5,20.0,256.0,680.0
333,106.2,"121,97",4.5,xiaomi,"0,82 x 7,78 x 17,19",8.0,256.0,200.0
335,219.75,"319,59",4.2,samsung,"15,85 x 7,36 x 0,79",4.0,128.0,172.0
336,101.93,"101,93",4.1,xiaomi,"16,86 x 7,63 x 0,82",4.0,128.0,400.0
337,99.0,"109,00",4.1,vivo,"18,2 x 9,4 x 5,2",4.0,128.0,460.0
338,280.0,"280,00",3.9,samsung,"14,2 x 6,99 x 0,79",8.0,256.0,150.0
339,304.99,"304,99",4.4,xiaomi,"18,6 x 9,2 x 6,2",12.0,12.0,277.3
340,329.99,"499,99",4.8,doogee,"8,31 x 1,79 x 17,85",32.0,128.0,372.0
341,104.49,"129,99",4.2,blackview,"18 x 9 x 5,4",12.0,4.0,194.0
342,139.99,"169,99",4.0,tcl,"16,82 x 7,55 x 0,81",8.0,256.0,195.0
343,104.49,"129,99",4.2,blackview,"17,9 x 9 x 5,6",12.0,4.0,194.0
344,175.0,"175,00",4.0,apple,"6,71 x 0,71 x 13,82",8.0,64.0,138.0
345,474.0,"474,00",3.6,apple,"0,78 x 7,15 x 14,67",8.0,128.0,330.0
347,319.99,"319,99",4.1,ulefone,"8,2 x 1,37 x 17,37",16.0,16.0,306.0
348,222.58,"222,58",4.1,xiaomi,"0,68 x 7,57 x 16,05",6.0,6.0,159.0
349,288.0,"294,88",4.4,samsung,50 x 50 x 28,8.0,256.0,250.0
350,57.32,"59,34",3.3,mtgud,"16,8 x 9,2 x 5,2",16.0,128.0,330.0
352,110.0,"110,00",3.2,apple,"0,12 x 0,59 x 0,76",16.0,16.0,113.0
353,229.0,"229,00",4.4,honor,"17,5 x 8,8 x 3,1",8.0,256.0,310.0
354,79.99,"86,99",3.8,realme,"16,71 x 7,65 x 0,76",3.0,64.0,360.0
355,189.0,"199,90",3.5,xiaomi,"17,9 x 9 x 5,8",8.0,512.0,490.0
356,169.0,"179,00",4.5,oppo,"16,57 x 7,6 x 0,77",16.0,16.0,186.0
357,129.0,"129,00",4.1,rvelon,20 x 8 x 2,8.0,128.0,110.0
358,159.99,"159,99",3.8,umidigi,"16,7 x 7,7 x 0,79",12.0,128.0,189.0
359,99.9,"99,90",4.7,honor,"17,5 x 8,5 x 3",4.0,128.0,320.0
360,321.99,"321,99",4.5,samsung,"16,11 x 7,74 x 0,82",8.0,8.0,277.3
361,249.99,"303,45",4.4,samsung,8 x 17 x 3,4.0,64.0,197.0
