,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
1325,319.0,"319,00",3.8,xiaomi,17 x 9 x 6,6.0,6.0,225.0
1326,207.66,"207,66",4.1,xiaomi,"16,5 x 7,6 x 0,7",6.0,6.0,500.0
1327,129.98,"129,98",4.1,rainbuvvy,"17 x 8 x 5,5",8.0,16.0,320.0
1328,119.99,"199,00",4.3,xiaomi,"164,9 x 7,7 x 0,9",3.0,3.0,196.0
1329,927.59,"927,59",4.6,apple,"16,85 x 9,33 x 2,9",8.0,128.0,194.0
1330,284.99,"284,99",3.7,apple,"16,1 x 8,99 x 5,21",64.0,64.0,150.0
1331,151.99,"199,99",4.4,oukitel,"24,4 x 19,5 x 6,9",24.0,256.0,670.0
1332,198.9,"205,00",4.3,poco,50 x 50 x 28,12.0,512.0,500.0
1333,239.0,"299,00",4.2,honor,50 x 50 x 28,8.0,8.0,179.0
1334,716.8,"716,80",4.5,nothing,"7,63 x 0,85 x 16,21",12.0,256.0,201.0
1335,209.99,"209,99",4.5,blackview,"20,8 x 20,6 x 3,9",18.0,256.0,528.0
1337,349.99,"349,99",4.3,ulefone,"8,04 x 1,25 x 17,27",8.0,8.0,290.0
1339,82.0,"87,65",4.0,xiaomi,50 x 50 x 28,8.0,32.0,192.0
1340,136.4,"136,40",4.2,samsung,"7,59 x 0,97 x 16,4",4.0,4.0,240.0
1342,139.99,"139,99",4.3,oscal,"16,32 x 7,52 x 0,87",16.0,16.0,195.0
1343,149.99,"149,99",4.0,samsung,50 x 50 x 28,4.0,4.0,200.0
1344,721.77,"721,77",4.4,apple,50 x 50 x 28,8.0,256.0,277.3
1345,149.99,"159,99",4.0,blackview,"8,2 x 1,92 x 17,44",8.0,8.0,438.0
1346,884.58,"884,58",4.6,apple,"0,78 x 7,78 x 16,09",8.0,128.0,370.0
1347,224.99,"224,99",4.4,samsung,"6,81 x 0,8 x 14,89",4.0,64.0,150.0
1348,307.56,"307,56",4.1,mcr infoelectronic,"16,3 x 7,57 x 0,77",24.0,24.0,550.0
1349,88.0,"121,96",4.5,xiaomi,50 x 50 x 28,4.0,4.0,210.0
1350,51.92,"51,92",4.1,maxcom,"1,4 x 6,4 x 13,9",8.0,128.0,299.0
1352,179.0,"179,00",4.1,honor,"17,4 x 8,8 x 3,2",8.0,256.0,290.0
1353,89.99,"129,99",3.8,doogee,"7,58 x 0,86 x 16,38",9.0,128.0,186.0
1354,145.55,"196,92",4.1,xiaomi,50 x 50 x 28,8.0,128.0,277.3
1355,258.17,"258,17",3.4,apple,"18,2 x 10,1 x 5,6",8.0,128.0,370.0
1357,729.21,"729,21",4.6,apple,"0,78 x 7,78 x 16,09",8.0,128.0,386.0
1358,1389.0,"1.389,00",4.3,apple,"0,82 x 7,76 x 16,3",8.0,256.0,410.0
1359,198.98,"199,00",4.4,samsung,"16,51 x 7,64 x 0,88",8.0,4.0,195.0
1360,173.95,"185,00",4.1,samsung,50 x 50 x 28,8.0,128.0,280.0
1361,338.5,"450,87",3.6,cat,"17,1 x 8 x 1,2",6.0,6.0,280.0
1362,199.99,"199,99",3.7,hotwav,"8,4 x 1,7 x 17,7",8.0,256.0,370.0
1363,182.0,"182,00",4.3,samsung,"16,51 x 7,58 x 16,4",3.0,32.0,340.0
1364,257.0,"264,94",4.1,xiaomi,"23 x 14,2 x 6,4",8.0,256.0,600.0
1365,132.84,"132,84",4.3,xiaomi,"7,38 x 0,81 x 15,98",4.0,4.0,179.0
1366,999.0,"1.329,00",4.3,google,"15,28 x 7,2 x 0,86",8.0,512.0,190.0
1367,379.0,"379,00",4.4,nothing,"7,63 x 0,85 x 16,17",12.0,256.0,190.0
1368,169.99,"169,99",3.8,umidigi,"16,69 x 7,5 x 0,8",8.0,8.0,195.0
1369,146.69,"146,69",3.7,samsung,50 x 50 x 28,8.0,128.0,277.3
1371,365.0,"599,00",3.9,motorola,"11,42 x 12,68 x 12,52",24.0,24.0,340.0
1372,467.0,"467,00",3.8,apple,"7,65 x 71,5 x 146,7",8.0,256.0,332.0
1373,144.5,"249,00",4.1,honor,50 x 50 x 28,8.0,3.0,194.0
1374,284.99,"284,99",4.0,apple,"16,1 x 8,99 x 5,21",64.0,64.0,150.0
1376,149.99,"149,99",4.0,doogee,"16,2 x 7,78 x 1,62",8.0,8.0,390.0
1377,291.61,"291,61",4.4,motorola,"17,6 x 8,4 x 4,8",6.0,128.0,460.0
1378,379.77,"379,77",4.1,apple,"17,6 x 9,6 x 5,41",64.0,64.0,360.0
1379,79.0,"79,00",4.1,fine life pro,"17,27 x 8,13 x 0,91",2.0,16.0,400.0
1381,284.99,"319,00",4.2,samsung,"16,56 x 7,7 x 0,84",6.0,128.0,198.0
1382,343.0,"343,00",3.9,samsung,"0,79 x 6,91 x 15,17",12.0,128.0,440.0
1383,1609.59,"1.609,59",4.6,apple,"0,78 x 7,15 x 14,67",8.0,256.0,172.0
1384,260.59,"260,59",4.1,nubia,"16,62 x 7,63 x 0,85",8.0,8.0,208.0
1385,94.43,"94,43",4.1,ciciglow,11 x 10 x 3,1.0,8.0,141.0
1386,159.99,"159,99",4.2,oukitel,"17,42 x 8,23 x 1,74",16.0,128.0,670.0
1387,190.0,"226,15",4.3,samsung,"7,68 x 7,68 x 16,01",8.0,128.0,200.0
1388,315.81,"315,81",4.4,samsung,"19,5 x 9,6 x 5,4",8.0,256.0,410.0
1389,939.0,"939,00",5.0,asus,"17,28 x 7,72 x 1,04",16.0,16.0,228.0
1390,1082.94,"1.082,94",4.1,asus,"2,79 x 24,64 x 16,51",16.0,512.0,228.0
1391,1799.0,"2.129,00",4.1,samsung,"18,7 x 15,8 x 6,6",8.0,512.0,650.0
1392,229.0,"329,00",4.4,oneplus,"16,29 x 7,56 x 0,81",8.0,8.0,191.0
1393,151.18,"151,18",4.3,xiaomi,"0,89 x 7,53 x 16,18",8.0,128.0,490.0
1394,56.99,"59,99",3.3,msmga,"16,8 x 9 x 5,2",1.0,16.0,335.0
1397,1274.73,"1.274,73",4.0,apple,"0,78 x 7,78 x 16,09",8.0,256.0,380.0
1399,99.99,"99,99",4.3,blackview,"23,8 x 18,7 x 6,4",8.0,128.0,183.0
1400,171.83,"171,83",4.4,samsung,"16,42 x 7,64 x 0,74",8.0,128.0,175.0
1401,1246.49,"1.246,49",4.6,apple,"0,77 x 7,15 x 14,67",8.0,128.0,174.0
1402,182.9,"203,37",4.3,xiaomi,50 x 50 x 28,8.0,8.0,500.0
1403,347.0,"347,00",4.3,samsung,50 x 50 x 28,8.0,128.0,320.0
1404,57.99,"57,99",3.1,wrtogo,"18,1 x 9,6 x 5,4",1.0,16.0,189.0
1405,187.0,"187,00",4.3,samsung,50 x 50 x 28,8.0,256.0,200.0
1406,419.9,"419,90",4.3,xiaomi,"18,4 x 9,3 x 6,2",12.0,512.0,186.0
1409,64.99,"64,99",5.0,xgody,"17,5 x 15,5 x 3,7",2.0,16.0,380.0
1410,253.89,"253,89",3.4,samsung,20 x 20 x 30,8.0,256.0,170.0
1411,108.89,"108,89",4.1,samsung,"6,92 x 0,79 x 14,44",4.0,4.0,140.0
